Name,Link to profile,Post content,Link to post,source_topic,clean_content,source,importance,chunk_id,investors,funding_amount,funding_amount_pretty,funding_stage
Kindred,,"Kindred is not a platform for vacation rentals; it is a members-only network for house sharing. Since each participant must host their own home in order to remain a guest, there is a higher level of trust among participants. Members are trusted peers looking to travel more regularly as opposed to professional hosts looking to rent their investment property because there is no cash exchange between the guest and the host.",https://livekindred.com/,Travel,"Kindred is not a platform for vacation rentals; it is a members-only network for house sharing. Since each participant must host their own home in order to remain a guest, there is a higher level of trust among participants. Members are trusted peers looking to travel more regularly as opposed to professional hosts looking to rent their investment property because there is no cash exchange between the guest and the host.",Startups Gallery,1.0,,"Andreessen Horowitz, Bessemer Venture Partners, Caffeinated Capital, Dylan Field, New Enterprise Associates, Outset Capital",125000000.0,$125M,Series B
Day,,"Day.ai combines the features of a Meeting Assistant, CRM, and Knowledge Base into a single unified solution that replaces the manual, complicated interfaces of legacy CRM, and keeps you connected to what customers want.",https://day.ai/,Productivity,"Day.ai combines the features of a Meeting Assistant, CRM, and Knowledge Base into a single unified solution that replaces the manual, complicated interfaces of legacy CRM, and keeps you connected to what customers want.",Startups Gallery,1.0,,"20sales, Conviction Capital, Inspired Capital, Pillar Vc, Sequoia Capital, Sound Ventures, Stage 2 Capital",20000000.0,$20M,Series A
RobCo,,"Founded in 2020 out of the Technical University of Munich, RobCo is on a mission to make industrial automation more accessible, affordable, and adaptable. Its patented modular hardware kit, combined with the RobCo Studio no-code software platform, allows industrial companies of all sizes to automate repetitive and dangerous tasks quickly and with unmatched flexibility. Whether it’s machine tending, palletizing, dispensing, or welding, RobCo’s modular robot kits provide versatile end-to-end solutions that are simple to deploy and manage remotely — without heavy upfront investment or specialist expertise.",https://www.rob.co,Robotics,"Founded in 2020 out of the Technical University of Munich, RobCo is on a mission to make industrial automation more accessible, affordable, and adaptable. Its patented modular hardware kit, combined with the RobCo Studio no-code software platform, allows industrial companies of all sizes to automate repetitive and dangerous tasks quickly and with unmatched flexibility. Whether it’s machine tending, palletizing, dispensing, or welding, RobCo’s modular robot kits provide versatile end-to-end solutions that are simple to deploy and manage remotely — without heavy upfront investment or specialist expertise.",Startups Gallery,1.0,,"Greenfield Partners, Kindred Ventures, Leitmotif, Lightspeed Venture Partners, Lingotto, Sequoia Capital",100000000.0,$100M,Series C
Matic,,"Matic is reimagining the next generation of fully autonomous, helpful, and elegant home robots using AI and computer vision. Level-5 autonomy in your home. Our flagship product, Matic, is a remarkably smart, proactive, and secure floor-cleaning robot that uses photo-realistic vision with precise 3D mapping to provide a home with perpetually clean floors.",https://maticrobots.com/,Robotics,"Matic is reimagining the next generation of fully autonomous, helpful, and elegant home robots using AI and computer vision. Level-5 autonomy in your home. Our flagship product, Matic, is a remarkably smart, proactive, and secure floor-cleaning robot that uses photo-realistic vision with precise 3D mapping to provide a home with perpetually clean floors.",Startups Gallery,1.0,,"A Capital, Abstract Ventures, Basecase Capital, Nfdg Ventures, Sutter Hill Ventures, Valor Equity Partners",60000000.0,$60M,Series A
Mantis Biotech,,"We are building a unified biomedical device testing and regulatory platform that connects every stage of product development from CAD design through simulation, bench testing, and verification to FDA Q-Submissions.",https://mantisbiotech.com/,Biotech,"We are building a unified biomedical device testing and regulatory platform that connects every stage of product development from CAD design through simulation, bench testing, and verification to FDA Q-Submissions.",Startups Gallery,1.0,,"Decibel Partners, Pioneer Fund, Y Combinator",6300000.0,$6.3M,Seed
Upwind,,"Upwind Cloud Security Platform bridges intelligence from runtime to build-time, eliminating friction & boosting the productivity of your developers, security engineers, and DevOps. Upwind delivers comprehensive cloud security, precisely when and where it’s most critical.",https://www.upwind.io/,Cybersecurity,"Upwind Cloud Security Platform bridges intelligence from runtime to build-time, eliminating friction & boosting the productivity of your developers, security engineers, and DevOps. Upwind delivers comprehensive cloud security, precisely when and where it’s most critical.",Startups Gallery,1.0,,"Bessemer Venture Partners, Craft Ventures, Greylock, Leaders Fund, Tcv",250000000.0,$250M,Series B
Decagon,,"Decagon is the leading conversational AI platform empowering every brand to deliver concierge customer experience. Our AI agents provide intelligent, human-like responses across chat, email, and voice, resolving millions of customer inquiries across every language and at any time.",https://decagon.ai/,AI,"Decagon is the leading conversational AI platform empowering every brand to deliver concierge customer experience. Our AI agents provide intelligent, human-like responses across chat, email, and voice, resolving millions of customer inquiries across every language and at any time.",Startups Gallery,1.0,,"Andreessen Horowitz, Accel, Acme Capital, Bain Capital Ventures, Bond Capital, Coatue, Elad Gil",250000000.0,$250M,Series D
Flapping Airplanes,,"Flapping Airplanes is a foundational AI research lab devoted to solving the data efficiency problem. They imagine a world where models can think at the level of humans without ingesting half the internet. The proof that this is possible is all around us: whereas current systems are trained on essentially all of accessible history, humans exceed AI capabilities despite seeing at most a few billion text tokens by adulthood.",https://flappingairplanes.com/,AI,"Flapping Airplanes is a foundational AI research lab devoted to solving the data efficiency problem. They imagine a world where models can think at the level of humans without ingesting half the internet. The proof that this is possible is all around us: whereas current systems are trained on essentially all of accessible history, humans exceed AI capabilities despite seeing at most a few billion text tokens by adulthood.",Startups Gallery,1.0,,"Google Ventures, Index Ventures, Sequoia Capital",180000000.0,$180M,Seed
Outtake,,"Outtake exists to empower and facilitate trust for a digital-first world. Today, impersonation, fraud, AI-driven scams, and identity abuse spread faster than any security team can respond to. So we built something different: an agentic AI platform that proactively detects, monitors and takes down impersonators and automates protection in hours, not weeks.",https://www.outtake.ai/,Cybersecurity,"Outtake exists to empower and facilitate trust for a digital-first world. Today, impersonation, fraud, AI-driven scams, and identity abuse spread faster than any security team can respond to. So we built something different: an agentic AI platform that proactively detects, monitors and takes down impersonators and automates protection in hours, not weeks.",Startups Gallery,1.0,,"Crv, Iconiq Growth, Section 32",16500000.0,$16.5M,Series B
Rogo,,"Rogo is the secure generative AI (GenAI) platform built for elite financial institutions. Save time, unlock insights and automate workflows in days.",https://rogo.ai,Fintech,"Rogo is the secure generative AI (GenAI) platform built for elite financial institutions. Save time, unlock insights and automate workflows in days.",Startups Gallery,1.0,,"Alleycorp, Boxgroup, Company Ventures, Khosla Ventures, Mantis Vc, Original Capital, Scop Venture Capital, Sequoia Capital, Thrive Capital, Tiger Global Management",75000000.0,$75M,Series C
FLORA,,"FLORA is an applied AI HCI company building the world’s most powerful creative tools. FLORA has all the best creative AI models on one Figma-like infinite canvas, which you can connect together to build workflows that automate entire creative processes. You can try our Alpha product on our landing page.",https://www.florafauna.ai/,Design,"FLORA is an applied AI HCI company building the world’s most powerful creative tools. FLORA has all the best creative AI models on one Figma-like infinite canvas, which you can connect together to build workflows that automate entire creative processes. You can try our Alpha product on our landing page.",Startups Gallery,1.0,,"Andreessen Horowitz, Company Ventures, Hanabi Capital, Long Journey Ventures, Menlo Ventures, Redpoint Ventures",42000000.0,$42M,Series A
Pace,,"Pace is the agentic workforce for insurance. Pace’s AI agents navigate internal apps, reason across documents and make phone calls to automate tasks traditionally handled by business process outsourcers (BPOs). Pace works with leading insurers to handle mission-critical insurance operations like submission intake, policy servicing, claims handling and data entry.",https://withpace.com/,Fintech,"Pace is the agentic workforce for insurance. Pace’s AI agents navigate internal apps, reason across documents and make phone calls to automate tasks traditionally handled by business process outsourcers (BPOs). Pace works with leading insurers to handle mission-critical insurance operations like submission intake, policy servicing, claims handling and data entry.",Startups Gallery,1.0,,Sequoia Capital,10000000.0,$10M,Seed
Phia,,"Phia is building the AI alignment layer between consumers and brands. With more than 1 million downloads, Phia’s shopping agent translates real-time consumer intent into personalized discovery, powered by product intelligence from a network of 6,200 brands.",https://phia.com/,Consumer,"Phia is building the AI alignment layer between consumers and brands. With more than 1 million downloads, Phia’s shopping agent translates real-time consumer intent into personalized discovery, powered by product intelligence from a network of 6,200 brands.",Startups Gallery,1.0,,"Khosla Ventures, Kleiner Perkins, Notable Capital",35000000.0,$35M,Series A
Northwood,,"Northwood is a modern space infrastructure company focused on connecting space and Earth. The world runs on space. Space will run on Northwood. Our global ground network ensures that missions ranging from national security, to global connectivity, to disaster response can unlock their full potential and operate every day without fail.",https://www.northwoodspace.io/,Aerospace,"Northwood is a modern space infrastructure company focused on connecting space and Earth. The world runs on space. Space will run on Northwood. Our global ground network ensures that missions ranging from national security, to global connectivity, to disaster response can unlock their full potential and operate every day without fail.",Startups Gallery,1.0,,"Andreessen Horowitz, Alpine Space Ventures, Boxgroup, Founders Fund",30000000.0,$30M,Series A
Cambio,,Cambio is a software platform for world-class real estate decarbonization. We help commercial real estate owners and tenants bring their real estate portfolios to net-zero using a powerful suite of software tools and AI-based recommendations. Our mission: to take the real estate industry into the climate action era.,https://cambio.ai/,Fintech,Cambio is a software platform for world-class real estate decarbonization. We help commercial real estate owners and tenants bring their real estate portfolios to net-zero using a powerful suite of software tools and AI-based recommendations. Our mission: to take the real estate industry into the climate action era.,Startups Gallery,1.0,,"Maverick Ventures, Y Combinator",18000000.0,$18M,Series A
Ricursive Intelligence,,"Ricursive Intelligence is a frontier AI Lab focused on building self-improving systems, starting with chip design. We are reinventing chip development and closing the loop between AI and the hardware that fuels it, recursively accelerating the path to artificial superintelligence.",https://www.ricursive.com/,AI,"Ricursive Intelligence is a frontier AI Lab focused on building self-improving systems, starting with chip design. We are reinventing chip development and closing the loop between AI and the hardware that fuels it, recursively accelerating the path to artificial superintelligence.",Startups Gallery,1.0,,"Dst Global, Felicis, Lightspeed Venture Partners, Radical Ventures, Sequoia Capital",300000000.0,$300M,Series A
Synthesia,,"Synthesia is the #1 rated AI video communications platform. Thousands of companies use it to create videos in 140 languages, saving up to 80% of their time and budget. Trusted by Zoom, Xerox, Teleperformance, Amazon and more.",https://www.synthesia.io/?r=0,AI,"Synthesia is the #1 rated AI video communications platform. Thousands of companies use it to create videos in 140 languages, saving up to 80% of their time and budget. Trusted by Zoom, Xerox, Teleperformance, Amazon and more.",Startups Gallery,1.0,,"Accel, Firstmark, Google Ventures, Kleiner Perkins, New Enterprise Associates, Nventures",200000000.0,$200M,Series E
Mine,,"Mine (fka Fizz) is the #1 money app for students. Whether you want to build credit, manage your money or have no idea where to start, Fizz is there to help you every step of the way. Download the app for free to check your credit score, get personalized spending insights and take fun bite-sized courses.",https://usemine.com/,Fintech,"Mine (fka Fizz) is the #1 money app for students. Whether you want to build credit, manage your money or have no idea where to start, Fizz is there to help you every step of the way. Download the app for free to check your credit score, get personalized spending insights and take fun bite-sized courses.",Startups Gallery,1.0,,"Kleiner Perkins, Sv Angel, Y Combinator",14400000.0,$14.4M,Series A
Inferact,,"Inferact's mission is to grow vLLM as the world's AI inference engine and accelerate AI progress by making inference cheaper and faster. Founded by the creators and core maintainers of vLLM, we sit at the intersection of models and hardware—a position that took years to build.",https://inferact.ai/,AI,"Inferact's mission is to grow vLLM as the world's AI inference engine and accelerate AI progress by making inference cheaper and faster. Founded by the creators and core maintainers of vLLM, we sit at the intersection of models and hardware—a position that took years to build.",Startups Gallery,1.0,,"Andreessen Horowitz, Altimeter Capital, Lightspeed Venture Partners, Redpoint Ventures, Sequoia Capital",150000000.0,$150M,Seed
Baseten,,"Baseten is an AI infrastructure platform giving you the tooling, expertise, and hardware needed to bring great AI products to market - fast. Our proprietary Inference Stack utilizes the cutting-edge of performance research combined with highly performant and reliable infrastructure to give you out-of-the-box global availability with 99.99% of uptime.",https://www.baseten.co,DevTools,"Baseten is an AI infrastructure platform giving you the tooling, expertise, and hardware needed to bring great AI products to market - fast. Our proprietary Inference Stack utilizes the cutting-edge of performance research combined with highly performant and reliable infrastructure to give you out-of-the-box global availability with 99.99% of uptime.",Startups Gallery,1.0,,"Basecase Capital, Bond Capital, Capitalg, Conviction Capital, Greylock, Ivp, Lachy Groom, South Park Commons, Spark Capital",300000000.0,$300M,Series D
LiveKit,,"Build applications that can see, hear, and speak with an end-to-end developer platform for voice, video, and physical AI",https://livekit.io/,DevTools,"Build applications that can see, hear, and speak with an end-to-end developer platform for voice, video, and physical AI",Startups Gallery,1.0,,"Altimeter Capital, Elad Gil, Founders Inc, Hanabi Capital, Index Ventures, Redpoint Ventures",100000000.0,$100M,Series C
Railway,,Railway’s mission is to build a world where developers ship without friction. We are a platform as a service bringing human-friendly design standards to internet infrastructure to help more great ideas materialize.,https://railway.com/,DevTools,Railway’s mission is to build a world where developers ship without friction. We are a platform as a service bringing human-friendly design standards to internet infrastructure to help more great ideas materialize.,Startups Gallery,1.0,,"Lachy Groom, Redpoint Ventures, Tq Ventures, Unusual Ventures",100000000.0,$100M,Series B
Artie,,"Artie is pioneering a new category of data infrastructure: fully managed CDC streaming. From capturing changes to merges, backfills, and observability — Artie automates the entire data ingestion lifecycle. By eliminating brittle orchestration, manual backfill logic, and silent failures, Artie delivers production-grade infrastructure you can trust — with no maintenance required.",https://www.artie.com/,DevTools,"Artie is pioneering a new category of data infrastructure: fully managed CDC streaming. From capturing changes to merges, backfills, and observability — Artie automates the entire data ingestion lifecycle. By eliminating brittle orchestration, manual backfill logic, and silent failures, Artie delivers production-grade infrastructure you can trust — with no maintenance required.",Startups Gallery,1.0,,"General Catalyst, Pathlight Ventures, Standard Capital, Y Combinator",12000000.0,$12M,Series A
OpenEvidence,,"OpenEvidence is a next-generation AI platform transforming how healthcare professionals and organizations access and apply medical information. Built on cutting-edge large language models and deep clinical data, OpenEvidence enables faster, more reliable, and more personalized decision-making for clinicians and life sciences partners.",https://www.openevidence.com/,Healthcare,"OpenEvidence is a next-generation AI platform transforming how healthcare professionals and organizations access and apply medical information. Built on cutting-edge large language models and deep clinical data, OpenEvidence enables faster, more reliable, and more personalized decision-making for clinicians and life sciences partners.",Startups Gallery,1.0,,"Blackstone, Breyer Capital, Coatue, Conviction Capital, Google Ventures, Kleiner Perkins, Sequoia Capital, Thrive Capital",250000000.0,$250M,Series D
Stilla,,"Stilla is an AI teammate that lives where you already work — Slack, Linear, and GitHub.  It captures context from your meetings and conversations, turns decisions into tasks, drafts code, and keeps docs in sync. Your whole team can collaborate in the same thread, and Stilla remembers what you decided across tools.",https://stilla.ai/,Productivity,"Stilla is an AI teammate that lives where you already work — Slack, Linear, and GitHub.  It captures context from your meetings and conversations, turns decisions into tasks, drafts code, and keeps docs in sync. Your whole team can collaborate in the same thread, and Stilla remembers what you decided across tools.",Startups Gallery,1.0,,General Catalyst,5000000.0,$5M,Pre-Seed
Humans&,,"Humans& aims to use software to help people collaborate with each other — think an AI version of an instant messaging app. One of their goals is to use existing AI techniques to train AI in new ways, like programming chatbots to request information from the user and store it for later use.",https://humansand.ai/,AI,"Humans& aims to use software to help people collaborate with each other — think an AI version of an instant messaging app. One of their goals is to use existing AI techniques to train AI in new ways, like programming chatbots to request information from the user and store it for later use.",Startups Gallery,1.0,,"Crv, Dcvc, Emerson Collective, Felicis, Forerunner Ventures, Google Ventures, Human Capital, Liquid 2 Ventures, Nventures, Section 32, Sv Angel",480000000.0,$480M,Seed
Cosmos,,"Cosmos is a creative platform that serves as a discovery engine for visual thinkers and makers. It’s designed to help designers, artists, and creative professionals collect, organize, and share inspiring content—all in a calm, distraction-free environment.",https://www.cosmos.so/,Design,"Cosmos is a creative platform that serves as a discovery engine for visual thinkers and makers. It’s designed to help designers, artists, and creative professionals collect, organize, and share inspiring content—all in a calm, distraction-free environment.",Startups Gallery,1.0,,"Accel, Google Ventures, Matrix Partners, Shine Capital",15000000.0,$15M,Series A
Ivo,,"Ivo helps organizations reduce the time, effort, and cost of negotiating contracts. Our Generative-AI native software reviews and redlines agreements for consistency against playbooks and historically negotiated agreements.",https://www.ivo.ai/,AI,"Ivo helps organizations reduce the time, effort, and cost of negotiating contracts. Our Generative-AI native software reviews and redlines agreements for consistency against playbooks and historically negotiated agreements.",Startups Gallery,1.0,,"Blackbird, Costanoa Ventures, Nfdg Ventures, Uncork Capital",55000000.0,$55M,Series B
Parloa,,Parloa is a leading global AI company with a vision to make every customer interaction as easy as talking to a friend. We amplify the customer service experience with our AI Agent Management Platform. This enterprise-grade platform automates contact centers by leveraging the full power of generative AI safely & reliably in the context of consumer interactions.,https://www.parloa.com/,AI,Parloa is a leading global AI company with a vision to make every customer interaction as easy as talking to a friend. We amplify the customer service experience with our AI Agent Management Platform. This enterprise-grade platform automates contact centers by leveraging the full power of generative AI safely & reliably in the context of consumer interactions.,Startups Gallery,1.0,,"Altimeter Capital, Eqt Ventures, General Catalyst, Mosaic Ventures, Newion, Rtp Global",350000000.0,$350M,Series D
Mytra,,"Resilient, modular, reconfigurable, no-integration-code automated material flow and storage system enabled by robotics and AI. Founded by former Tesla engineering leaders.",https://mytra.ai/,Hardware,"Resilient, modular, reconfigurable, no-integration-code automated material flow and storage system enabled by robotics and AI. Founded by former Tesla engineering leaders.",Startups Gallery,1.0,,"Abstract Ventures, Avenir, Eclipse, Greenoaks, Lifex Ventures, Liquid 2 Ventures",120000000.0,$120M,Series C
Etched,,"Etched is building the world’s first AI inference system purpose-built for transformers - delivering over 10x higher performance and dramatically lower cost and latency than a B200. With Etched ASICs, you can build products that would be impossible with GPUs, like real-time video generation models and extremely deep & parallel chain-of-thought reasoning agents.",https://www.etched.com/,Hardware,"Etched is building the world’s first AI inference system purpose-built for transformers - delivering over 10x higher performance and dramatically lower cost and latency than a B200. With Etched ASICs, you can build products that would be impossible with GPUs, like real-time video generation models and extremely deep & parallel chain-of-thought reasoning agents.",Startups Gallery,1.0,,"Founders Fund, Primary, Ribbit Capital, Stripes",500000000.0,$500M,Series B
Skild AI,,"At Skild AI, we are building the world's first general purpose robotic intelligence that is robust and adapts to unseen scenarios without failing. We believe massive scale through data-driven machine learning is the key to unlocking these capabilities for the widespread deployment of robots within society",https://www.skild.ai/,Robotics,"At Skild AI, we are building the world's first general purpose robotic intelligence that is robust and adapts to unseen scenarios without failing. We believe massive scale through data-driven machine learning is the key to unlocking these capabilities for the widespread deployment of robots within society",Startups Gallery,1.0,,"Bezos Expeditions, Coatue, Crv, Felicis, General Catalyst, Lightspeed Venture Partners, Menlo Ventures, Nventures, Sequoia Capital, Softbank Vision Fund, Sv Angel",1400000.0,$1.4M,Series C
Listen Labs,,"Listen is an autonomous market researcher that makes research simple and fast. Share your business question, and our AI handles everything - designing the interviews, finding the right participants, and analyzing responses. Whether you're testing products or exploring new markets, Listen is a skilled researcher that works 24/7, delivering insights in hours instead of weeks.",https://listenlabs.ai/,Productivity,"Listen is an autonomous market researcher that makes research simple and fast. Share your business question, and our AI handles everything - designing the interviews, finding the right participants, and analyzing responses. Whether you're testing products or exploring new markets, Listen is a skilled researcher that works 24/7, delivering insights in hours instead of weeks.",Startups Gallery,1.0,,"Conviction Capital, Pear Vc, Ribbit Capital, Sequoia Capital",69000000.0,$69M,Series B
WithCoverage,,"The insurance brokerage industry is ready for a new standard: ambitious businesses often overpay for insurance, are inadequately protected, and are left with a non-transparent, disorganized experience. Most businesses don’t have an in-house Risk Management Team. That’s where we come in.",https://withcoverage.com/,Fintech,"The insurance brokerage industry is ready for a new standard: ambitious businesses often overpay for insurance, are inadequately protected, and are left with a non-transparent, disorganized experience. Most businesses don’t have an in-house Risk Management Team. That’s where we come in.",Startups Gallery,1.0,,"8vc, Khosla Ventures, Sequoia Capital",42000000.0,$42M,Series B
Deepgram,,"Deepgram is a foundational AI company on a mission to transform human-machine interaction using natural language. We give any developer access to the fastest, most powerful voice AI platform including access to models for speech-to-text, text-to-speech, and spoken language understanding with just an API call.",https://deepgram.com/,AI,"Deepgram is a foundational AI company on a mission to transform human-machine interaction using natural language. We give any developer access to the fastest, most powerful voice AI platform including access to models for speech-to-text, text-to-speech, and spoken language understanding with just an API call.",Startups Gallery,1.0,,"Alkeon Capital, Avp Vc, Citi Ventures, Madrona, Tiger Global Management, Wing Vc, Y Combinator",130000000.0,$130M,Series C
Converge Bio,,"Converge Bio is at the forefront of integrating Generative AI with biological data. Our mission is to empower biotech and pharmaceutical companies to discover and develop more effective drugs faster, utilizing the power of Large Language Models (LLMs) specifically trained on biological languages.",https://converge-bio.com/,Biotech,"Converge Bio is at the forefront of integrating Generative AI with biological data. Our mission is to empower biotech and pharmaceutical companies to discover and develop more effective drugs faster, utilizing the power of Large Language Models (LLMs) specifically trained on biological languages.",Startups Gallery,1.0,,Bessemer Venture Partners,25000000.0,$25M,Series A
Torq,,"Torq is a no-code automation platform for security and operations teams. With Torq, frontline security professionals can easily create automated flows that help them respond to threats faster, remediate risks automatically, and deliver better security to their teams.",https://torq.io/,Cybersecurity,"Torq is a no-code automation platform for security and operations teams. With Torq, frontline security professionals can easily create automated flows that help them respond to threats faster, remediate risks automatically, and deliver better security to their teams.",Startups Gallery,1.0,,"Bessemer Venture Partners, Evolution Equity Partners, Greenfield Partners, Merlin Ventures, Notable Capital",140000000.0,$140M,Series D
Rain,,"Rain develops and operates cutting edge digital asset authorization and settlement infrastructure in concert with its innovative payment card solutions. By connecting blockchain settlement with traditional financial systems like the Visa network, Rain drives adoption and utility for digital assets in enterprise and consumer use cases.",https://www.raincards.xyz/,Web3,"Rain develops and operates cutting edge digital asset authorization and settlement infrastructure in concert with its innovative payment card solutions. By connecting blockchain settlement with traditional financial systems like the Visa network, Rain drives adoption and utility for digital assets in enterprise and consumer use cases.",Startups Gallery,1.0,,"Dragonfly, Galaxy Ventures, Iconiq Growth, Latitude Capital, Lightspeed Venture Partners, Norwest Venture Partners, Sapphire Ventures",250000000.0,$250M,Series C
Corgi,,"Corgi is an AI insurance company. Insurance is a naturally inefficient business, heavy on operations, and expensive. Corgi uses AI to scale insurance businesses efficiently.",https://www.corgi.insure/,Fintech,"Corgi is an AI insurance company. Insurance is a naturally inefficient business, heavy on operations, and expensive. Corgi uses AI to scale insurance businesses efficiently.",Startups Gallery,1.0,,"Contrary Capital, Kindred Ventures, Oliver Jung, Sv Angel, Y Combinator",108000000.0,$108M,Series A
Swap,,"Swap is the agentic commerce operating system powering global commerce - from AI-native storefronts and cross-border selling to returns, inventory, and compliance.",https://www.swap-commerce.com/,DevTools,"Swap is the agentic commerce operating system powering global commerce - from AI-native storefronts and cross-border selling to returns, inventory, and compliance.",Startups Gallery,1.0,,"Dst Global, Iconiq Growth",100000000.0,$100M,Series C
Autonomous,,"ATG (Autonomous Technologies Group) is an AI lab deploying frontier reasoning systems within financial markets. Millions of people already ask AI what to do with money. Autonomous is building the missing piece: the Cursor ""apply"" button that connects your financial life with AI.",https://becomeautonomous.com/,Fintech,"ATG (Autonomous Technologies Group) is an AI lab deploying frontier reasoning systems within financial markets. Millions of people already ask AI what to do with money. Autonomous is building the missing piece: the Cursor ""apply"" button that connects your financial life with AI.",Startups Gallery,1.0,,"Boxgroup, Collaborative Fund, Y Combinator",15000000.0,$15M,Pre-Seed
LLMArena,,"LMArena is the open platform for evaluating how AI models perform in the real world. Created by researchers from UC Berkeley’s SkyLab, our mission is to measure and advance the frontier of AI for real-world use.",https://lmarena.ai/,AI,"LMArena is the open platform for evaluating how AI models perform in the real world. Created by researchers from UC Berkeley’s SkyLab, our mission is to measure and advance the frontier of AI for real-world use.",Startups Gallery,1.0,,"Andreessen Horowitz, Felicis, Kleiner Perkins, Laude Ventures, Lightspeed Venture Partners",150000000.0,$150M,Series A
